epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05481,1.40601,3.41244,1.24802,0.0033,0.9538,0.08252,0.04879,0.9505,3.38053,0.99854,0.00048343,0.00048343,0.00048343
2,13.3025,1.2876,2.1007,1.14575,0.00338,0.97158,0.02196,0.01256,1.22541,3.49059,1.14114,0.000973793,0.000973793,0.000973793
3,18.357,1.24396,1.8116,1.12928,0.87621,0.63589,0.81381,0.48025,1.29252,2.11243,1.20286,0.00145425,0.00145425,0.00145425
4,23.3821,1.20569,1.65391,1.11106,0.88614,0.54383,0.74825,0.4198,1.44562,2.05796,1.27222,0.00161749,0.00161749,0.00161749
5,28.4125,1.25673,1.59257,1.14362,0.78552,0.87523,0.84938,0.49809,1.30394,1.36651,1.24859,0.00160099,0.00160099,0.00160099
6,33.337,1.17976,1.35759,1.1081,0.69124,0.68595,0.74094,0.47843,1.32381,1.63356,1.22757,0.00158448,0.00158448,0.00158448
7,38.2463,1.1903,1.19738,1.11703,0.84737,0.90146,0.90288,0.58916,1.18046,1.1455,1.20349,0.00156798,0.00156798,0.00156798
8,43.2725,1.13964,1.17447,1.10883,0.89111,0.86824,0.91017,0.57662,1.21359,1.01904,1.13001,0.00155148,0.00155148,0.00155148
9,48.1654,1.12058,1.05922,1.06864,0.89464,0.91841,0.90718,0.59512,1.20024,0.90425,1.12076,0.00153497,0.00153497,0.00153497
10,53.1192,1.08147,0.9869,1.07004,0.90219,0.92523,0.91956,0.63553,1.14784,0.76753,1.13742,0.00151847,0.00151847,0.00151847
11,58.2728,1.07235,1.03502,1.03655,0.89529,0.91109,0.90256,0.63555,1.07152,0.81518,1.10859,0.00150197,0.00150197,0.00150197
12,63.3248,1.01077,0.86247,1.04352,0.88144,0.89629,0.88914,0.58357,1.18885,0.86997,1.1627,0.00148546,0.00148546,0.00148546
13,68.3942,1.01162,0.89786,1.05891,0.85973,0.91459,0.89282,0.60012,1.10712,0.78641,1.12379,0.00146896,0.00146896,0.00146896
14,73.4069,1.07777,0.88493,1.05051,0.88662,0.91725,0.91021,0.60726,1.08792,0.78881,1.13587,0.00145246,0.00145246,0.00145246
15,78.3448,1.05093,0.8591,1.05145,0.82374,0.87802,0.87628,0.59285,1.12438,0.93468,1.13311,0.00143595,0.00143595,0.00143595
16,83.2925,1.02954,0.80828,1.02966,0.91483,0.9191,0.93748,0.64721,1.11283,0.76345,1.12665,0.00141945,0.00141945,0.00141945
17,88.1833,0.92559,0.77651,1.01832,0.92058,0.92042,0.94423,0.66752,1.03745,0.6751,1.09352,0.00140295,0.00140295,0.00140295
18,93.2885,0.93238,0.72183,0.9947,0.89152,0.92988,0.93771,0.64495,1.0521,0.7518,1.09635,0.00138644,0.00138644,0.00138644
19,98.157,0.9271,0.69998,1.00219,0.91625,0.91678,0.94196,0.64919,1.07034,0.68073,1.08837,0.00136994,0.00136994,0.00136994
20,103.053,0.92038,0.7155,0.9997,0.9339,0.90745,0.9404,0.66892,1.0195,0.67516,1.08879,0.00135344,0.00135344,0.00135344
21,108.003,0.89122,0.69758,0.99295,0.91563,0.94493,0.94764,0.68175,1.02948,0.60686,1.10708,0.00133693,0.00133693,0.00133693
22,113.056,0.88232,0.67745,0.9825,0.94177,0.93155,0.93533,0.66723,1.03257,0.65642,1.10829,0.00132043,0.00132043,0.00132043
23,118.265,0.85001,0.67896,0.95917,0.92682,0.91824,0.92886,0.68034,1.00666,0.68631,1.09556,0.00130393,0.00130393,0.00130393
24,123.49,0.86978,0.67666,0.98071,0.87926,0.89712,0.91625,0.67438,1.04618,0.66455,1.09545,0.00128742,0.00128742,0.00128742
25,128.677,0.83891,0.64779,0.9568,0.88388,0.92514,0.92523,0.66283,1.00872,0.65221,1.13813,0.00127092,0.00127092,0.00127092
26,133.798,0.87262,0.62179,0.98375,0.9214,0.91952,0.94938,0.67865,1.03796,0.63295,1.08378,0.00125442,0.00125442,0.00125442
27,138.877,0.83293,0.61474,0.95125,0.93527,0.92173,0.94268,0.67456,1.0573,0.61389,1.11296,0.00123791,0.00123791,0.00123791
28,143.901,0.8398,0.63807,0.97477,0.93816,0.91132,0.94648,0.69271,0.98972,0.60745,1.09652,0.00122141,0.00122141,0.00122141
29,148.931,0.84906,0.63199,0.98194,0.90503,0.94255,0.95397,0.69708,1.02366,0.63436,1.12067,0.00120491,0.00120491,0.00120491
30,154.024,0.80618,0.61354,0.94403,0.90167,0.94301,0.92186,0.67658,1.00049,0.59813,1.11387,0.0011884,0.0011884,0.0011884
31,159.261,0.80768,0.58791,0.94972,0.90191,0.95824,0.9615,0.71302,0.94199,0.56198,1.07856,0.0011719,0.0011719,0.0011719
32,164.451,0.754,0.53666,0.93726,0.92516,0.90848,0.94969,0.71481,0.95776,0.55799,1.12352,0.0011554,0.0011554,0.0011554
33,169.608,0.76032,0.55218,0.93981,0.89673,0.94666,0.95262,0.715,0.95952,0.55946,1.10652,0.00113889,0.00113889,0.00113889
34,174.826,0.79723,0.53936,0.96619,0.9181,0.92247,0.94277,0.69846,0.96125,0.57109,1.09238,0.00112239,0.00112239,0.00112239
35,180.076,0.77629,0.55067,0.93054,0.89111,0.94083,0.94365,0.72284,0.93488,0.57999,1.06176,0.00110589,0.00110589,0.00110589
36,185.326,0.75212,0.53048,0.94292,0.93104,0.93972,0.94753,0.72486,0.96819,0.52378,1.10517,0.00108938,0.00108938,0.00108938
37,190.434,0.7621,0.52921,0.9247,0.92551,0.94469,0.9519,0.70845,0.9781,0.54563,1.09723,0.00107288,0.00107288,0.00107288
38,195.561,0.73916,0.55333,0.93565,0.89131,0.92018,0.9543,0.72427,0.91854,0.56062,1.05584,0.00105638,0.00105638,0.00105638
39,200.787,0.78429,0.55333,0.94106,0.93373,0.93237,0.95027,0.69509,1.00736,0.54681,1.10132,0.00103987,0.00103987,0.00103987
40,205.937,0.72273,0.52787,0.91545,0.91843,0.92182,0.92388,0.69157,0.998,0.58396,1.12984,0.00102337,0.00102337,0.00102337
41,211.142,0.69407,0.50171,0.89154,0.92872,0.92686,0.92417,0.68139,0.97833,0.5436,1.0984,0.00100687,0.00100687,0.00100687
42,216.358,0.7237,0.50587,0.91567,0.91374,0.93237,0.94281,0.7135,0.93345,0.51947,1.09312,0.000990365,0.000990365,0.000990365
43,221.44,0.72446,0.51494,0.9218,0.89467,0.89772,0.92521,0.68798,0.95722,0.57964,1.08215,0.000973861,0.000973861,0.000973861
44,226.553,0.71239,0.50215,0.90976,0.92495,0.92888,0.94849,0.72342,0.95943,0.55029,1.11242,0.000957358,0.000957358,0.000957358
45,231.709,0.69968,0.49362,0.90523,0.9259,0.93135,0.95115,0.71028,0.94582,0.52925,1.10166,0.000940855,0.000940855,0.000940855
46,236.872,0.67892,0.48257,0.90377,0.94068,0.92888,0.944,0.70891,0.94038,0.52179,1.13833,0.000924352,0.000924352,0.000924352
47,242.067,0.67829,0.46871,0.90951,0.91824,0.91809,0.93645,0.69795,0.95778,0.54595,1.13279,0.000907848,0.000907848,0.000907848
48,247.354,0.66578,0.4752,0.90437,0.92627,0.91181,0.9438,0.72405,0.91754,0.53636,1.09211,0.000891345,0.000891345,0.000891345
49,252.462,0.68284,0.47987,0.90919,0.94523,0.91962,0.9547,0.74224,0.90914,0.4962,1.0734,0.000874842,0.000874842,0.000874842
50,257.564,0.68305,0.47331,0.89558,0.90748,0.92117,0.95752,0.75077,0.90611,0.48675,1.0913,0.000858338,0.000858338,0.000858338
51,262.692,0.67982,0.45821,0.89777,0.93759,0.89502,0.95501,0.75853,0.88552,0.49681,1.05235,0.000841835,0.000841835,0.000841835
52,267.899,0.64151,0.44043,0.87975,0.94529,0.94813,0.96229,0.73404,0.93035,0.46732,1.10099,0.000825332,0.000825332,0.000825332
53,273.073,0.67861,0.45738,0.90567,0.91089,0.95015,0.94938,0.72375,0.93385,0.49583,1.12978,0.000808828,0.000808828,0.000808828
54,278.322,0.67636,0.44675,0.90984,0.92178,0.95729,0.9577,0.72985,0.94652,0.49079,1.12804,0.000792325,0.000792325,0.000792325
55,283.401,0.63666,0.44152,0.89693,0.93253,0.93455,0.95357,0.73074,0.9144,0.47245,1.11197,0.000775822,0.000775822,0.000775822
56,288.558,0.64253,0.44776,0.89611,0.92611,0.92106,0.94992,0.74671,0.88322,0.46917,1.0854,0.000759318,0.000759318,0.000759318
57,293.649,0.6897,0.47108,0.9272,0.94463,0.92596,0.95699,0.74161,0.89493,0.47923,1.08834,0.000742815,0.000742815,0.000742815
58,298.841,0.66429,0.47098,0.89879,0.93211,0.92303,0.94842,0.70538,0.95543,0.51147,1.11382,0.000726312,0.000726312,0.000726312
59,303.948,0.61652,0.46032,0.85667,0.9113,0.94751,0.93392,0.70515,0.90326,0.52671,1.10182,0.000709809,0.000709809,0.000709809
60,309.204,0.62098,0.44625,0.87539,0.92391,0.93298,0.94865,0.73133,0.92387,0.49034,1.09824,0.000693305,0.000693305,0.000693305
61,314.353,0.62258,0.44527,0.89197,0.92907,0.92888,0.94709,0.73044,0.90291,0.48314,1.09876,0.000676802,0.000676802,0.000676802
62,319.49,0.58763,0.40373,0.86172,0.92824,0.91534,0.94414,0.73638,0.91277,0.46913,1.11568,0.000660299,0.000660299,0.000660299
63,324.617,0.65374,0.42588,0.89942,0.90404,0.94853,0.94855,0.73344,0.92037,0.44864,1.12272,0.000643795,0.000643795,0.000643795
64,329.758,0.60666,0.41932,0.89022,0.93637,0.94301,0.95263,0.74498,0.89125,0.44112,1.10935,0.000627292,0.000627292,0.000627292
65,334.993,0.61262,0.41815,0.88419,0.92329,0.94073,0.95621,0.74901,0.91472,0.46785,1.10864,0.000610789,0.000610789,0.000610789
66,340.295,0.61055,0.41196,0.88627,0.94344,0.92777,0.95093,0.74355,0.89245,0.44663,1.10683,0.000594286,0.000594286,0.000594286
67,345.401,0.60495,0.41261,0.88976,0.93933,0.93787,0.93747,0.74276,0.86216,0.44503,1.07945,0.000577782,0.000577782,0.000577782
68,350.526,0.59604,0.41014,0.87172,0.92965,0.93774,0.94357,0.76266,0.85989,0.47468,1.08099,0.000561279,0.000561279,0.000561279
69,355.682,0.57416,0.404,0.85174,0.90982,0.93951,0.95039,0.74907,0.86988,0.46529,1.09909,0.000544776,0.000544776,0.000544776
70,360.807,0.59076,0.40485,0.87938,0.92726,0.92831,0.94689,0.75301,0.84107,0.44076,1.08737,0.000528272,0.000528272,0.000528272
71,365.964,0.58426,0.42028,0.89863,0.91641,0.93951,0.95374,0.75178,0.8676,0.43602,1.10764,0.000511769,0.000511769,0.000511769
72,371.215,0.58507,0.42048,0.87767,0.92934,0.93427,0.95174,0.78198,0.84111,0.42822,1.09277,0.000495266,0.000495266,0.000495266
73,376.341,0.58203,0.39406,0.87959,0.91466,0.9284,0.94331,0.77333,0.82315,0.44756,1.07778,0.000478762,0.000478762,0.000478762
74,381.551,0.55208,0.38239,0.86665,0.887,0.94713,0.94475,0.7546,0.84985,0.45667,1.09991,0.000462259,0.000462259,0.000462259
75,386.713,0.53994,0.38206,0.85769,0.94271,0.90264,0.93786,0.756,0.86639,0.44408,1.1102,0.000445756,0.000445756,0.000445756
76,391.883,0.55253,0.37061,0.87309,0.9388,0.93951,0.94041,0.7557,0.84853,0.46641,1.09877,0.000429253,0.000429253,0.000429253
77,397.033,0.54063,0.39025,0.85585,0.93613,0.92829,0.94514,0.76433,0.84882,0.44539,1.09346,0.000412749,0.000412749,0.000412749
78,402.253,0.53596,0.37369,0.86181,0.93724,0.95015,0.94463,0.75617,0.86334,0.4614,1.09857,0.000396246,0.000396246,0.000396246
79,407.473,0.53881,0.36495,0.85789,0.91953,0.95015,0.94346,0.76005,0.87004,0.4509,1.10466,0.000379743,0.000379743,0.000379743
80,412.559,0.53602,0.37261,0.87008,0.91911,0.93591,0.94133,0.7622,0.84978,0.45528,1.10127,0.000363239,0.000363239,0.000363239
81,417.698,0.53026,0.36805,0.86567,0.93645,0.93951,0.94278,0.75607,0.84471,0.45977,1.10397,0.000346736,0.000346736,0.000346736
82,422.857,0.52659,0.36469,0.8648,0.92921,0.93651,0.94087,0.75904,0.84666,0.45182,1.11432,0.000330233,0.000330233,0.000330233
83,427.984,0.51005,0.36636,0.8664,0.92509,0.94858,0.94094,0.76447,0.87031,0.42576,1.12991,0.000313729,0.000313729,0.000313729
84,433.203,0.53088,0.36414,0.85385,0.91542,0.95015,0.94033,0.75917,0.87093,0.43591,1.11661,0.000297226,0.000297226,0.000297226
85,438.39,0.52472,0.36336,0.87583,0.92467,0.93951,0.93763,0.75214,0.89868,0.43392,1.14396,0.000280723,0.000280723,0.000280723
86,443.499,0.50104,0.34185,0.86216,0.91697,0.95015,0.93876,0.75073,0.88594,0.41944,1.14829,0.00026422,0.00026422,0.00026422
