epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7372,1.87459,3.57413,1.67319,0.5,0.0027,0.25135,0.10054,2.54816,4.52872,2.47962,0.07624,0.00024,0.00024
2,82.4656,1.54138,1.71839,1.40086,0.23781,0.50946,0.39832,0.2028,1.88328,3.78434,1.46165,0.0514899,0.00048988,0.00048988
3,114.523,1.47951,1.44878,1.36458,0.77425,0.49726,0.65064,0.3447,1.5815,2.29343,1.28905,0.0267393,0.000739277,0.000739277
4,146.623,1.45435,1.29721,1.35993,0.21164,0.83608,0.54373,0.35198,1.463,2.80418,1.31482,0.00198783,0.000987825,0.000987825
5,179.116,1.43222,1.24244,1.33718,0.77948,0.47047,0.61677,0.26238,2.1593,2.00737,1.71518,0.000996097,0.000996097,0.000996097
6,204.688,1.39477,1.18392,1.31942,0.83222,0.73581,0.82931,0.52401,1.23856,1.34698,1.13067,0.000993906,0.000993906,0.000993906
7,226.372,1.40217,1.15576,1.31301,0.87205,0.69665,0.84971,0.53225,1.20031,1.22502,1.1182,0.000991232,0.000991232,0.000991232
8,245.558,1.36086,1.10887,1.30036,0.9313,0.735,0.89307,0.61019,0.98611,1.02799,1.0141,0.000988079,0.000988079,0.000988079
9,267.299,1.33295,1.10557,1.28715,0.91247,0.7789,0.89829,0.53758,1.35687,1.03208,1.15348,0.000984449,0.000984449,0.000984449
10,288.697,1.33896,1.08056,1.28421,0.86778,0.73783,0.84616,0.54763,1.13816,1.13995,1.05868,0.000980345,0.000980345,0.000980345
11,310.115,1.29655,1.05398,1.2686,0.77464,0.77642,0.81505,0.51832,1.3243,1.05299,1.15438,0.000975773,0.000975773,0.000975773
12,331.349,1.2951,1.01725,1.25627,0.8405,0.74388,0.85678,0.58411,1.06683,1.03528,1.04421,0.000970736,0.000970736,0.000970736
13,348.91,1.28483,1.01263,1.25406,0.90975,0.83865,0.90667,0.61126,1.11492,1.06917,1.03619,0.000965239,0.000965239,0.000965239
14,367.631,1.28189,0.97877,1.24838,0.88122,0.82405,0.90418,0.54283,1.35261,0.92403,1.14579,0.000959289,0.000959289,0.000959289
15,386.133,1.23684,0.9469,1.23299,0.90667,0.83804,0.92515,0.61317,1.13172,0.85955,1.07033,0.000952889,0.000952889,0.000952889
16,404.632,1.27141,0.96647,1.25205,0.88416,0.67304,0.84013,0.51434,1.21424,1.50218,1.07602,0.000946048,0.000946048,0.000946048
17,423.25,1.23406,0.92934,1.21995,0.93006,0.8432,0.94323,0.6376,0.96473,0.82428,0.96797,0.000938772,0.000938772,0.000938772
18,441.714,1.18311,0.9037,1.19311,0.77818,0.81148,0.87052,0.60518,1.06953,0.91543,1.03282,0.000931067,0.000931067,0.000931067
19,458.297,1.221,0.92543,1.23846,0.92425,0.84021,0.92657,0.62053,1.0553,0.80516,0.99854,0.000922942,0.000922942,0.000922942
20,477.123,1.19625,0.88319,1.20005,0.9113,0.86884,0.93579,0.69536,0.82644,0.7921,0.94184,0.000914405,0.000914405,0.000914405
